Time,Letter
2023-12-03 14:50:40.450177,p
2023-12-03 14:50:40.545834,p
2023-12-03 14:50:40.689971,o
2023-12-03 14:50:40.788184,o
2023-12-03 14:50:41.205146,w
2023-12-03 14:50:41.301534,w
2023-12-03 14:50:41.473684,e
2023-12-03 14:50:41.561646,e
2023-12-03 14:50:41.724058,r
2023-12-03 14:50:41.809239,r
2023-12-03 14:50:42.038324,space
2023-12-03 14:50:42.138466,space
2023-12-03 14:50:42.575086,b
2023-12-03 14:50:42.658721,b
2023-12-03 14:50:42.840122,u
2023-12-03 14:50:42.926617,u
2023-12-03 14:50:43.141376,r
2023-12-03 14:50:43.223404,r
2023-12-03 14:50:43.399052,s
2023-12-03 14:50:43.477318,s
2023-12-03 14:50:43.696501,t
2023-12-03 14:50:43.777089,t
2023-12-03 14:50:43.998468,space
2023-12-03 14:50:44.091853,space
2023-12-03 14:50:44.990566,c
2023-12-03 14:50:45.090449,c
2023-12-03 14:50:45.232101,r
2023-12-03 14:50:45.321389,r
2023-12-03 14:50:45.416412,e
2023-12-03 14:50:45.498227,e
2023-12-03 14:50:45.621995,a
2023-12-03 14:50:45.697473,a
2023-12-03 14:50:46.059332,m
2023-12-03 14:50:46.140789,m
2023-12-03 14:50:46.364976,enter
