Time,Letter
2023-12-03 14:35:33.879484,r
2023-12-03 14:35:33.973154,r
2023-12-03 14:35:34.096113,e
2023-12-03 14:35:34.179675,e
2023-12-03 14:35:34.495671,l
2023-12-03 14:35:34.597001,l
2023-12-03 14:35:34.878164,a
2023-12-03 14:35:34.976292,a
2023-12-03 14:35:35.229320,x
2023-12-03 14:35:35.313215,x
2023-12-03 14:35:35.527375,space
2023-12-03 14:35:35.613300,space
2023-12-03 14:35:36.193280,e
2023-12-03 14:35:36.277443,e
2023-12-03 14:35:36.577730,x
2023-12-03 14:35:36.661317,x
2023-12-03 14:35:36.796444,a
2023-12-03 14:35:36.875799,a
2023-12-03 14:35:37.129097,c
2023-12-03 14:35:37.216493,c
2023-12-03 14:35:37.412491,t
2023-12-03 14:35:37.479923,t
2023-12-03 14:35:37.696231,space
2023-12-03 14:35:37.781740,space
2023-12-03 14:35:38.479527,c
2023-12-03 14:35:38.569965,c
2023-12-03 14:35:38.776659,a
2023-12-03 14:35:38.846099,a
2023-12-03 14:35:39.113679,t
2023-12-03 14:35:39.213681,t
2023-12-03 14:35:39.393314,c
2023-12-03 14:35:39.472423,c
2023-12-03 14:35:39.911962,h
2023-12-03 14:35:39.998332,h
