Time,Letter
2023-12-03 14:34:47.928772,b
2023-12-03 14:34:48.023436,b
2023-12-03 14:34:48.261283,o
2023-12-03 14:34:48.376538,o
2023-12-03 14:34:48.710723,w
2023-12-03 14:34:48.823041,w
2023-12-03 14:34:49.092247,e
2023-12-03 14:34:49.186145,e
2023-12-03 14:34:49.650705,l
2023-12-03 14:34:49.755868,l
2023-12-03 14:34:50.149185,space
2023-12-03 14:34:50.227566,space
2023-12-03 14:34:50.944571,p
2023-12-03 14:34:51.045698,p
2023-12-03 14:34:51.290524,u
2023-12-03 14:34:51.376091,u
2023-12-03 14:34:51.618326,p
2023-12-03 14:34:51.711908,p
2023-12-03 14:34:52.023911,i
2023-12-03 14:34:52.112745,i
2023-12-03 14:34:52.391947,l
2023-12-03 14:34:52.479581,l
2023-12-03 14:34:52.762234,space
2023-12-03 14:34:52.841182,space
2023-12-03 14:34:53.460380,g
2023-12-03 14:34:53.556296,g
2023-12-03 14:34:53.825290,u
2023-12-03 14:34:53.913083,u
2023-12-03 14:34:54.210466,e
2023-12-03 14:34:54.298070,e
2023-12-03 14:34:54.558738,s
2023-12-03 14:34:54.629498,s
2023-12-03 14:34:54.807418,s
2023-12-03 14:34:54.872494,s
