Time,Letter
2023-12-03 14:50:11.413854,t
2023-12-03 14:50:11.506813,t
2023-12-03 14:50:11.633908,r
2023-12-03 14:50:11.703397,r
2023-12-03 14:50:11.937899,a
2023-12-03 14:50:12.072548,a
2023-12-03 14:50:12.634754,i
2023-12-03 14:50:12.717318,i
2023-12-03 14:50:13.448608,t
2023-12-03 14:50:13.525849,t
2023-12-03 14:50:13.954184,space
2023-12-03 14:50:14.049771,space
2023-12-03 14:50:14.288172,s
2023-12-03 14:50:14.387005,s
2023-12-03 14:50:14.698858,u
2023-12-03 14:50:14.787268,u
2023-12-03 14:50:15.063843,g
2023-12-03 14:50:15.141232,g
2023-12-03 14:50:15.440928,a
2023-12-03 14:50:15.509603,a
2023-12-03 14:50:15.809092,r
2023-12-03 14:50:15.892973,r
2023-12-03 14:50:16.193349,space
2023-12-03 14:50:16.276427,space
2023-12-03 14:50:16.890579,s
2023-12-03 14:50:16.968318,s
2023-12-03 14:50:17.126205,c
2023-12-03 14:50:17.202718,c
2023-12-03 14:50:17.362620,e
2023-12-03 14:50:17.452413,e
2023-12-03 14:50:17.716507,n
2023-12-03 14:50:17.792187,n
2023-12-03 14:50:18.106165,e
2023-12-03 14:50:18.178334,e
