"[2, 2, 2]",L,2023-11-30 16:31:11.876511
"[4, 3, 2]",backspace,2023-11-30 16:31:13.876348
"[1, 2, 1]",C,2023-11-30 16:31:21.376572
"[4, 1, 1]",Y,2023-11-30 16:31:26.079199
"[1, 4, 1]",G,2023-11-30 16:31:32.079266
"[3, 1, 2]",R,2023-11-30 16:31:35.379418
"[1, 4, 2]",H,2023-11-30 16:31:39.876992
"[3, 1, 1]",Q,2023-11-30 16:31:43.979382
"[4, 3, 2]",backspace,2023-11-30 16:31:46.476891
"[4, 4, 4]",,2023-11-30 16:31:50.076767
"[3, 4, 1]",W,2023-11-30 16:31:54.376774
"[3, 1, 2]",R,2023-11-30 16:31:57.979522
"[2, 4, 2]",P,2023-11-30 16:32:05.979533
"[2, 3, 2]",N,2023-11-30 16:32:09.479675
"[1, 3, 2]",F,2023-11-30 16:32:13.379991
"[1, 1, 1]",A,2023-11-30 16:32:17.777515
"[4, 3, 2]",backspace,2023-11-30 16:32:19.577180
