"[1, 1, 1]",A,2023-11-30 14:01:25.909152
"[4, 3, 2]",backspace,2023-11-30 14:01:27.609145
"[2, 3, 1]",M,2023-11-30 14:01:37.309364
"[1, 1, 2]",B,2023-11-30 14:01:40.311872
"[1, 4, 2]",H,2023-11-30 14:01:43.409380
"[1, 4, 1]",G,2023-11-30 14:01:46.712049
"[2, 4, 1]",O,2023-11-30 14:01:50.911877
"[2, 4, 2]",P,2023-11-30 14:01:54.111971
"[3, 4, 1]",W,2023-11-30 14:01:57.611932
"[2, 3, 1]",M,2023-11-30 14:02:02.112006
"[2, 2, 2]",L,2023-11-30 14:02:04.709580
"[2, 4, 2]",P,2023-11-30 14:02:07.811938
"[2, 2, 2]",L,2023-11-30 14:02:10.012158
"[3, 4, 1]",W,2023-11-30 14:02:13.109302
"[2, 4, 1]",O,2023-11-30 14:02:16.512005
"[2, 3, 2]",N,2023-11-30 14:02:19.209507
"[1, 2, 2]",D,2023-11-30 14:02:22.312010
"[1, 2, 1]",C,2023-11-30 14:02:26.112133
"[3, 1, 2]",R,2023-11-30 14:02:29.912118
"[2, 2, 1]",K,2023-11-30 14:02:33.411856
