"[1, 1, 1]",A,2023-11-30 16:37:02.879588
"[4, 3, 2]",backspace,2023-11-30 16:37:05.379679
"[3, 1, 1]",Q,2023-11-30 16:37:17.180149
"[4, 1, 1]",Y,2023-11-30 16:37:19.982931
"[2, 4, 2]",P,2023-11-30 16:37:23.882806
"[1, 2, 2]",D,2023-11-30 16:37:27.882657
"[3, 3, 1]",U,2023-11-30 16:37:31.180316
"[3, 4, 1]",W,2023-11-30 16:37:34.782839
"[2, 3, 1]",M,2023-11-30 16:37:38.782875
"[3, 4, 1]",W,2023-11-30 16:37:42.482920
"[1, 2, 2]",D,2023-11-30 16:37:46.582857
"[1, 3, 2]",F,2023-11-30 16:37:49.382046
"[2, 2, 2]",L,2023-11-30 16:37:54.483121
"[3, 3, 2]",V,2023-11-30 16:37:57.583075
"[2, 2, 2]",L,2023-11-30 16:38:01.482899
"[4, 3, 2]",backspace,2023-11-30 16:38:02.979996
"[3, 2, 1]",S,2023-11-30 16:38:05.879889
"[3, 3, 1]",U,2023-11-30 16:38:09.180006
"[4, 1, 2]",Z,2023-11-30 16:38:14.482289
