Input,Letter,Time
[],B,2023-12-03 14:23:06.599409
[],I,2023-12-03 14:23:13.199600
[],B,2023-12-03 14:23:17.699677
[],L,2023-12-03 14:23:25.199754
[],E,2023-12-03 14:23:31.899690
[],_,2023-12-03 14:23:35.995980
[],U,2023-12-03 14:23:43.499850
[],R,2023-12-03 14:23:54.799992
[],I,2023-12-03 14:24:05.100148
[],N,2023-12-03 14:24:12.200269
[],E,2023-12-03 14:24:17.400271
[],_,2023-12-03 14:24:19.900265
[],T,2023-12-03 14:24:27.600430
[],O,2023-12-03 14:24:32.803135
[],U,2023-12-03 14:24:38.900772
[],G,2023-12-03 14:24:46.800515
[],H,2023-12-03 14:24:52.603299
