"[1, 1, 1]",A,2023-12-03 14:55:11.081057
"[4, 3, 2]",backspace,2023-12-03 14:55:13.081037
"[1, 4, 2]",H,2023-12-03 14:55:18.781068
"[1, 3, 1]",E,2023-12-03 14:55:22.081257
"[1, 1, 1]",A,2023-12-03 14:55:24.380995
"[3, 3, 2]",V,2023-12-03 14:55:28.383549
"[4, 1, 1]",Y,2023-12-03 14:55:31.280988
"[4, 3, 1]", ,2023-12-03 14:55:33.581133
"[2, 3, 2]",N,2023-12-03 14:55:37.183476
"[2, 1, 1]",I,2023-12-03 14:55:39.681110
"[1, 4, 1]",G,2023-12-03 14:55:44.881059
"[3, 2, 2]",T,2023-12-03 14:55:48.281122
"[4, 3, 2]",backspace,2023-12-03 14:55:52.080850
"[1, 4, 2]",H,2023-12-03 14:55:57.981569
"[3, 2, 2]",T,2023-12-03 14:56:01.881029
"[4, 3, 1]", ,2023-12-03 14:56:04.081186
"[1, 2, 1]",C,2023-12-03 14:56:07.681101
"[3, 1, 2]",R,2023-12-03 14:56:11.383481
"[1, 1, 1]",A,2023-12-03 14:56:13.281099
"[3, 2, 1]",S,2023-12-03 14:56:19.283581
"[4, 4, 4]",,2023-12-03 14:56:22.780936
"[1, 4, 2]",H,2023-12-03 14:56:26.381140
